Site ID,Site Type,Picture IDs,Lat,Long,street,house number,Date/Time Collected,Person(s) collecting,Regional slope direction [Az],Regional slope magnitude [degrees from horizontal],Lithology (if exposed),"Damaged Structure [1=sidewalk, 2=road, 3=fence, 4=house-wall, 5=other, 6=Pole,7=Stair]",Damage Metrics Length [m],Damage Metrics Area [m^2],Damage Metrics Width [m],Damage Metrics Displacement [m],Damage Metrics Orientation [Az],Damage Metrics Tilt [degree from vertical],Damage Metrics Humockiness (Orientation [Az]),Damage Metrics Humockiness (wavelength [m]),Damage Metrics Humockiness (Amplitude [m]),Damage Metrics Misc,"magnitude of damage – categorical [1-low, 5 hig]","evidence of repair [1-yes, 2-no]","Material Type [1=concrete, 2=brick, 3=asphalt, 4=stone, 5=wood, 6=meta]",Absolute age [year bc],"categoric age 1=young, 2=mid, 3=old",Distance to influential Objects Tree,Distance to influential Objects Fire Hydrant,Distance to influential Objects Drain,Distance to influential Objects street corner,Distance to influential Objects Driveway,Distance to influential Objects other,Notes/comments
DDL1,DD_L,656,40.46873611,-80.01918889,,,11/19/17 10:38,AJS,170,13,,6,,,,,170,10,,,,,1,2,5,,2,,,,,0.5,,
DDL2,DD_L,658,40.46885278,-80.01889722,,,11/19/17 10:44,AJS,1,5.3,,1,,,,0.0508,1,,,,,,1,2,1,,2,,,,,,,
DDL3,DD_L,659,40.46894167,-80.01870000,,,11/19/17 10:49,AJS,80,6.4,,1,13.3,15.96,1.2,0.0635,80,,,,,,4,2,1,,2,,,,,1,,
DDL4,DD_L,660,40.46893056,-80.01849444,,,11/19/17 10:52,AJS,80,5,,6,,,,,80,9.5,,,,,1,2,6,,2,,,,,,,
DDL5,DD_L,662,40.46893056,-80.01831944,,,11/19/17 10:55,AJS,80,5.7,,4,,,,,80,2.9,,,,,2,2,1,2000,1,,,,,1,,It used to be a boulder wall
DDL6,DD_L,665,40.46910833,-80.01825833,,,11/19/17 10:59,AJS,80,3.5,,1,21,,,0.0889,80,,,,,,2,2,1,,2,,,,,,,
DDL7,DD_L,666,40.46918889,-80.01825000,,,11/19/17 11:04,AJS,80,3.5,,7,,,,,80,,,,,cracks,2,1,1,,1,,,,,1,,
DDL8,DD_L,667,40.46920278,-80.01775278,,,11/19/17 11:08,AJS,80,4.8,,4,,,,,80,9.4,,,,,1,1,1,,2,,,,,1,,
DDL9,DD_L,669,40.46936111,-80.01744167,,,11/19/17 11:10,AJS,80,4.8,,1,10.45,12.54,1.2,0.0381,80,,,,,,4,2,1,,2,,,,,1,,cars park here
DDL10,DD_L,671,40.46933056,-80.01731944,,,11/19/17 11:12,AJS,163,5.2,,6,,,,,163,11.7,,,,,3,2,6,,2,,,,0,,,Towards slope
DDL11,DD_L,672,40.46921667,-80.01703611,,,11/19/17 11:14,AJS,163,7.4,some soil,6,,,,,163,5,,,,,1,2,5,,2,,,,,,,Big Pole
DDL12,DD_L,673,40.46867778,-80.01721944,,,11/19/17 11:17,AJS,80,8,,4,,,,,80,4,,,,,1,2,1,,2,,,,,1,,
DDL13,DD_L,674,40.46834167,-80.01839444,,,11/19/17 11:22,AJS,80,1.7,,4,,,,,80,3.4,,,,,1,2,1,,1,,,,,1,,Probably soil driven
DDL14,DD_L,"675, 676",40.46823611,-80.01866111,,,11/19/17 11:24,AJS,80,1.3,,3,,,,,80,6,,,,,1,2,6,,1,,,,,1,,
DDL15,DD_L,"677, 678",40.46822222,-80.01874444,,,11/19/17 11:27,AJS,80,1.3,,7,,,,,80,,,,,cracks,3,2,1,,2,,,,,,,Aligned with previous
DDL16,DD_L,682,40.46810833,-80.01915833,,,11/19/17 11:30,AJS,260,3.6,,4,,,,,260,7.7,,,,,1,2,5,,2,,,,0,,,
DDL17,DD_L,683,40.46805556,-80.01943333,,,11/19/17 11:30,AJS,163,3.8,,4,,,,,163,34.5,,,,,4,2,1,,2,,,,,,,
DDL18,DD_L,684,40.46826667,-80.01911944,,,11/19/17 11:33,AJS,163,6.9,,4,,,,,163,6,,,,cracks,1,2,1,,2,,,,,1,,
DDL19,DD_L,685,40.46835833,-80.01924167,,,11/19/17 11:34,AJS,163,8.2,,4,,,,,163,20,,,,,3,2,1,,2,,,,,,,
DDL20,DD_L,686,40.46863056,-80.01919444,,,11/19/17 11:37,AJS,163,7.4,,4,,,,,163,3.9,,,,,1,2,1,,2,,,,,,,
DDL21,DD_L,"687, 688, 689",40.46889444,-80.01934167,,,11/19/17 11:40,AJS,141,11.5,,4,3,3.75,1.25,0.05842,141,19.5,,,,,4,2,1,,2,,,,,,,Wall ~ 20 m. 4 cracks.
DDL22,DD_L,693,40.46959167,-80.01853056,,,11/19/17 11:48,AJS,225,7.2,,4,,,,,225,10.3,,,,,1,2,1,,2,,,,,,,
DDL23,DD_L,694,40.46969167,-80.01857778,,,11/19/17 11:50,AJS,225,7.2,,1,,,,0.0635,225,,,,,,1,2,1,,2,,,,,,,
DDL24,DD_L,696,40.46964167,-80.01831944,,,11/19/17 11:51,AJS,225,7.6,,4,,,,,225,6.3,,,,,1,2,1,,2,,,,,1,,
